layer_id,layer_name,description,source_path,source_type,source_layer_name,zone,sub_zone,variable_type,processing_method,invert_bio,invert_refs,invert_agri,jenks_classes,manual_values,percentile_lower,percentile_upper,nodata_treatment,component_weight_bio,component_weight_refs,component_weight_agri,national,eastern_cape,free_state,gauteng,kwazulu_natal,limpopo,mpumalanga,north_west,northern_cape,western_cape,notes,data_source,year,status
RSA_KBA_Raster_ProjectRaster,Key Biodiversity Areas,Key Biodiversity Areas,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_KBA_Raster_ProjectRaster,File Geodatabase Raster,RSA_KBA_Raster_ProjectRaster,all,NA,binary,binary,TRUE,FALSE,FALSE,NA,NA,NA,NA,make 0,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
RSA_MLL_raster_final,Mega Living Landscapes,SANParks Mega Living Landscapes,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_MLL_raster_final,File Geodatabase Raster,RSA_MLL_raster_final,bio; refs,NA,binary,binary,TRUE,FALSE,NA,NA,NA,NA,NA,leave as is,1,1,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,SANPARKS,NA,confirmed
RSA_NoGo_Raster,Threatened Species No-Go Areas,Threatened Species No-Go Areas,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_NoGo_Raster,File Geodatabase Raster,RSA_NoGo_Raster,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0; 1=0; 2=90; 3=100,NA,NA,make 0,2,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,EWT,NA,confirmed
RSA_NPAES_Raster,National Protected Area Expansion Strategy,National Protected Area Expansion Strategy - Priority Focus Area,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_NPAES_Raster,File Geodatabase Raster,RSA_NPAES_Raster,all,NA,binary,binary,TRUE,FALSE,FALSE,NA,NA,NA,NA,make 0,3,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
RSA_PAA_Raster_ProjectRaster,Protected Agricultural Area,Protected Agricultural Area,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_PAA_Raster_ProjectRaster,File Geodatabase Raster,RSA_PAA_Raster_ProjectRaster,bio; agri,NA,categorical,manual,FALSE,NA,TRUE,NA,0=0; 1=70; 2=90; 3=60; 4=100; 5=80; 6=50; 7=80; 8=70; 9=90; 10=80; 11=90; 12=50; 13=50; 14=70; 15=60; 16=60,NA,NA,make 0,1,1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,Dept of Agriculture,NA,confirmed
RSA_RemVeg_Raster,Remaining Natural Vegetation,Remaining Natural Vegetation,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_RemVeg_Raster,File Geodatabase Raster,RSA_RemVeg_Raster,all,NA,categorical,manual,TRUE,FALSE,FALSE,NA,0=0;1=50; 2=80; 3=90; 4=100; 5=100,NA,NA,make 0,2,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,SANBI,NA,confirmed
RSA_Slope_30m,Slope,Slope (Resolution 30m),C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_Slope_30m,File Geodatabase Raster,RSA_Slope_30m,refs; agri,NA,continuous,jenks,NA,FALSE,FALSE,10,NA,NA,NA,leave as is,NA,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
Reclass_AGRI1,Total Available Carbon,Total Available Terrestrial Carbon,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\Reclass_AGRI1,File Geodatabase Raster,Reclass_AGRI1,bio; agri,NA,continuous,jenks,TRUE,NA,FALSE,10,NA,NA,NA,leave as is,1,NA,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc,NA,confirmed
D2SS,Distance to Sub-Station,Distance to Nearest Sub-Station,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\National_30x30\National.gdb\D2SS,File Geodatabase Raster,D2SS,refs,NA,continuous,jenks,NA,FALSE,NA,20,NA,NA,NA,leave as is,NA,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc (ESKOM),NA,confirmed
RSA_Dist2PS,Distance to Power Station,Distance to Nearest Power Station,C:\Users\OliverCowan\OneDrive - EWT\Documents\02. Data Analyses\03. JRS 30x30\wef-prioritization\WEF Prioritization.gdb\RSA_Dist2PS,File Geodatabase Raster,RSA_Dist2PS,refs,NA,continuous,jenks,NA,FALSE,NA,20,NA,NA,NA,leave as is,NA,1,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,tbc (ESKOM),NA,confirmed
